Negative,Positive,All,negative_perc,positive_perc
55,115,170,32.35294117647059,67.64705882352942
17,24,41,41.46341463414634,58.536585365853654
49,207,256,19.140625,80.859375
56,120,176,31.818181818181817,68.18181818181817
74,98,172,43.02325581395349,56.97674418604651
52,107,159,32.70440251572327,67.29559748427673
62,69,131,47.32824427480916,52.67175572519084
1,42,43,2.3255813953488373,97.67441860465115
46,163,209,22.00956937799043,77.99043062200957
46,117,163,28.22085889570552,71.77914110429448
42,225,267,15.730337078651685,84.26966292134831
9,35,44,20.454545454545457,79.54545454545455
33,125,158,20.88607594936709,79.11392405063292
47,145,192,24.479166666666664,75.52083333333334
59,176,235,25.106382978723403,74.8936170212766
5,28,33,15.151515151515152,84.84848484848484
33,164,197,16.751269035532996,83.24873096446701
26,131,157,16.560509554140125,83.43949044585987
40,87,127,31.496062992125985,68.50393700787401
16,80,96,16.666666666666664,83.33333333333334
36,161,197,18.274111675126903,81.7258883248731
19,185,204,9.313725490196079,90.68627450980392
81,141,222,36.486486486486484,63.51351351351351
71,85,156,45.51282051282051,54.48717948717948
54,180,234,23.076923076923077,76.92307692307693
13,55,68,19.11764705882353,80.88235294117648
27,72,99,27.27272727272727,72.72727272727273
5,18,23,21.73913043478261,78.26086956521739
67,102,169,39.64497041420118,60.35502958579882
24,61,85,28.235294117647058,71.76470588235294
7,40,47,14.893617021276595,85.1063829787234
4,28,32,12.5,87.5
7,19,26,26.923076923076923,73.07692307692307
3,33,36,8.333333333333332,91.66666666666666
60,194,254,23.62204724409449,76.37795275590551
27,157,184,14.673913043478262,85.32608695652173
5,12,17,29.411764705882355,70.58823529411765
10,22,32,31.25,68.75
7,28,35,20.0,80.0
10,32,42,23.809523809523807,76.19047619047619
12,25,37,32.432432432432435,67.56756756756756
7,78,85,8.235294117647058,91.76470588235294
43,142,185,23.243243243243246,76.75675675675676
10,42,52,19.230769230769234,80.76923076923077
88,90,178,49.43820224719101,50.56179775280899
20,45,65,30.76923076923077,69.23076923076923
18,59,77,23.376623376623375,76.62337662337663
5,26,31,16.129032258064516,83.87096774193549
19,20,39,48.717948717948715,51.28205128205128
7,36,43,16.27906976744186,83.72093023255815
47,56,103,45.63106796116505,54.36893203883495
5,26,31,16.129032258064516,83.87096774193549
38,49,87,43.67816091954023,56.32183908045977
6,30,36,16.666666666666664,83.33333333333334
13,138,151,8.609271523178808,91.3907284768212
37,85,122,30.327868852459016,69.67213114754098
64,69,133,48.1203007518797,51.8796992481203
25,68,93,26.881720430107524,73.11827956989248
6,14,20,30.0,70.0
15,10,25,60.0,40.0
1,29,30,3.3333333333333335,96.66666666666667
9,31,40,22.5,77.5
38,75,113,33.6283185840708,66.3716814159292
23,18,41,56.09756097560976,43.90243902439025
42,171,213,19.718309859154928,80.28169014084507
47,104,151,31.125827814569533,68.87417218543047
22,124,146,15.068493150684931,84.93150684931507
2,45,47,4.25531914893617,95.74468085106383
3,4,7,42.857142857142854,57.14285714285714
