,tconst,primaryTitle,startYear,runtimeMinutes,genre_1,genre_2,genre_3,Item,Mês,month,day,year,Data Portugues,FW,Worldwide_Gross,Production_Budget,rentability,log_rentability,rating,movie_info,on_streaming_date,studio_name,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_want_to_see_count,audience_rating,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count,audience_fresh_top_critics_count,audience_rotten_rotten_critics_count,tomatometer_avg_rating,audience_top_critics_avg_rating,score_sentiment,audience_avg_rating,Negative,Positive,All,negative_perc,positive_perc,NPremium_Indicado,NPremium_Win,Premium_Indicado,Premium_Win,movieyear,averageRating,numVotes,directors_1,directors_2,writers_1,writers_2,rating_num,directors_1_films,directors_2_films,directors_1_ratingAverage,directors_2_ratingAverage,writer_1_films,writer_2_films,writer_1_ratingAverage,writer_2_ratingAverage,AvgRating,numFilmes,num_crew
66398,tt0118589,Glitter,2001,104,Drama,Music,Romance,3947,Setembro,9.0,21.0,2001,21/09/2001,38,4273372.0,8500000.0,0.5027496470588235,-0.6876629523508582,PG-13,"The story of a gifted young singer, Billie Frank, who overcomes a turbulent childhood and struggles to find her true identity and voice. During her childhood, Billie is abandoned by her drug-addicted mother and is remanded to an orphanage. Years later, Billie is discovered by charismatic, irresistible ""bad boy"" DJ Julian Dice who hears her demo and, floored by her talent, gets her a record deal. She soon falls for him and he becomes her partner, producer and lover. With Dice, she begins an exciting but often volatile and precarious journey as she struggles through her personal and professional life, riding the roller coaster to superstardom. However, conflicts with Dice hold her back and she ultimately must begin to escape his influence and find her own style.","Jan 15, 2002",20th Century Fox,rotten,6.0,86,spilled,2510,48.0,44311.0,31,5,81,1,30,2.78,2.68,NEGATIVE,2.94,45,39,84,53.57142857142857,46.42857142857143,0,0,0,0,2001Glitter,2.2,21167,nm0193554,,nm0921985,nm0486824,46567.4,1,0,6.9,,0,1,,6.8999999999999995,5.8,0.25,10
67605,tt0120681,From Hell,2001,122,Horror,Mystery,Thriller,1732,Outubro,10.0,19.0,2001,19/10/2001,42,68712365.0,35000000.0,1.9632104285714285,0.6745811069874124,R,"The true-life horror story of Jack the Ripper gets a new spin in this screen adaptation of the acclaimed graphic novel by Alan Moore and Eddie Campbell. In 1888, a ruthless and cold-blooded killer begins hunting prostitutes in East London, and while the murderer's work is savage, the mutilation of his victims suggests the fiend has an extensive medical background. Amidst a background of political unrest and barely contained scandal among the royal family, the murderer's grisly exploits shock and frighten all of England, and one of Scotland Yard's top inspectors, Fred Abberline (Johnny Depp), is put on the case, along with his partner, Peter Godley (Robbie Coltrane). Abberline, depending on one's viewpoint, is either blessed or cursed with second sight, and while he blurs his ability to see future events with opium and other drugs, he still has an uncanny ability to ferret out dangerous criminals, which is put to the test as he and Godley search for the Ripper. As Abberline and Godley investigate the neighborhood where the crimes occur, they become acquainted with the prostitutes and street people who were friends and compatriots of the victims, and Abberline finds himself falling in love with Mary Kelly (Heather Graham), a beautiful Irish streetwalker. As Abberline tries to identify the killer before Mary Kelly can become the next victim, he and Godley have to contend with Sir Charles Warren (Ian Richardson), their superior who is keen to pin the murders on a culprit who isn't British, and Sir William Gull (Ian Holm), a respected physician who has his own ideas about the murders and the benefits of psychosurgery. From Hell marked a change of pace for Albert Hughes and Allen Hughes, the sibling directorial team best known for their gritty depictions of America's urban underground in such films as Menace II Society and Dead Presidents. ~ Mark Deming, Rovi","May 14, 2002",20th Century Fox,rotten,57.0,151,upright,33021,66.0,203197.0,37,86,65,19,18,5.69,5.31,POSITIVE,3.58,50,100,150,33.33333333333333,66.66666666666666,0,0,0,0,2001From Hell,6.8,143578,nm0400436,nm0400441,nm0600872,nm0132427,976330.4,3,3,7.31,7.31,0,0,,,6.258212354113294,1.0,10
67642,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,178,Action,Adventure,Drama,356,Dezembro,12.0,19.0,2001,19/12/2001,51,887210985.0,109000000.0,8.139550321100918,2.0967349353804967,PG-13,"Assisted by a Fellowship of heroes, Frodo Baggins plunges into a perilous trek to take the mystical One Ring to Mount Doom so that it and its magical powers can be destroyed and never possessed by evil Lord Sauron. The astonishing journey begins in the first film of director/co-writer Peter Jackson's epic trilogy that redefined fantasy filmmaking. This imaginative foray into J.R.R. Tolkien's Middle-earth won 4 Academy Awards (R)* and earned 13 total nominations including Best Picture.","Aug 6, 2002",New Line Cinema,certified_fresh,91.0,230,upright,35838,95.0,1355751.0,48,210,20,43,5,8.18,7.65,POSITIVE,4.12,42,187,229,18.3406113537118,81.6593886462882,6,4,3,0,2001The Lord of the Rings: The Fellowship of the Ring,8.8,1598647,nm0001392,,nm0866058,nm0909638,14068093.6,5,0,7.16,,0,4,,7.262978773767789,6.533333333333334,0.75,10
67655,tt0120755,Mission: Impossible II,2000,123,Action,Adventure,Thriller,297,Maio,5.0,24.0,2000,24/05/2000,21,549588516.0,120000000.0,4.5799043,1.5216781027112791,PG-13,"Director John Woo brings Hong Kong-style martial arts action to this comic book-flavored sequel that eschews the complicated plot and political maneuverings of its predecessor in favor of pure, adrenaline-charged thrills. Tom Cruise returns as Ethan Hunt, an operative for the top-secret government agency IMF (Impossible Missions Force). Fellow agent Sean Ambrose (Dougray Scott) has gone rogue, stealing a sample of a deadly synthetic virus named Chimera that could rapidly wipe out the world's population. Ambrose's plan is to sell Chimera to the highest bidder in exchange for shares of stock in the winner's company. Summoned by the new IMF chief (Anthony Hopkins in an uncredited cameo role), Ethan is assigned to recruit the help of Ambrose's former lover Nyah Nordoff-Hall (Thandie Newton), a gorgeous woman who left Ambrose broken-hearted and who may be able to quickly regain his confidence. Once he meets and spends a night with Nyah, however, Ethan is smitten, and now must both capture Ambrose and keep Nyah alive as she infiltrates a nest of vipers. Sophisticated disguises, gun battles, and high-speed chases are the order of the day, very much in the James Bond mold. Mission: Impossible 2 is based on a story by Star Trek: The Next Generation writers Ronald D. Moore and Brannon Braga, with a script polish by Robert Towne. ~ Karl Williams, Rovi","Nov 7, 2000",Paramount Pictures,rotten,57.0,150,spilled,33602,43.0,451869.0,35,85,65,19,16,5.96,5.57,NEGATIVE,3.06,63,81,144,43.75,56.25,0,0,0,0,2000Mission: Impossible II,6.1,304492,nm0000247,,nm0312367,nm0601822,1857401.2,24,0,7.11,,3,0,7.099574038725205,,,0.0,10
68298,tt0122459,Return to Me,2000,115,Comedy,Drama,Romance,2404,Abril,4.0,7.0,2000,07/04/2000,14,32662299.0,24000000.0,1.360929125,0.3081676466336964,PG,"Return To Me is an endearing romantic comedy infused with real life humor. Life can change in an instant and it does for Bob Rueland and Grace Briggs. A lonely Bob is embraced by Grace, who is surrounded by a coterie of substitute mothers including her Irish grandfather, who with his Italian brother-in-law run a Chicago restaurant. Although Bob and Grace are strangers at the start of our story, their lives are soon forever intertwined by fate.","Oct 31, 2000",MGM Distribution,fresh,62.0,99,upright,3832,79.0,46904.0,28,61,38,16,12,6.12,5.56,POSITIVE,4.04,17,60,77,22.07792207792208,77.92207792207795,0,0,0,0,2000Return to Me,6.9,19168,nm0001372,,nm0001372,nm0482141,132259.2,0,0,,,0,0,,,,0.0,10
69389,tt0126029,Shrek,2001,90,Adventure,Animation,Comedy,1108,Maio,5.0,18.0,2001,18/05/2001,20,491812794.0,50000000.0,9.83625588,2.2860751386556686,PG,"Once upon a time, in a far away swamp, there lived an ornery ogre named Shrek whose precious solitude is suddenly shattered by an invasion of annoying fairy tale characters. There are blind mice in his food, a big, bad wolf in his bed, three little homeless pigs and more, all banished from their kingdom by the evil Lord Farquaad. Determined to save their home--not to mention his own--Shrek cuts a deal with Farquaad and sets out to rescue the beautiful Princess Fiona to be Farquaad's bride. Accompanying him on his mission is wisecracking Donkey, who will do anything for Shrek... except shut up. Rescuing the Princess from a fire-breathing dragon may prove the least of their problems when the deep, dark secret she has been keeping is revealed.","Nov 2, 2001",Dreamworks,certified_fresh,88.0,205,upright,21067,90.0,1378744.0,50,180,25,41,9,7.82,7.88,POSITIVE,3.91,33,171,204,16.176470588235293,83.82352941176471,1,1,0,0,2001Shrek,7.8,593625,nm0011470,nm0421776,nm0825308,nm0254645,4630275.0,0,0,,,0,4,,6.712047051333552,4.967949710515686,0.75,10
71374,tt0134084,Scream 3,2000,116,Horror,Mystery,,1434,Fevereiro,2.0,4.0,2000,04/02/2000,5,161838076.0,40000000.0,4.0459519,1.3977168503901622,R,"In the third and final episode of the Scream trilogy, Sidney realizes that she can no longer escape her past. Inspired by horror movies, the killer once again returns, but this time all trilogy rules are broken.","Jul 4, 2000",Dimension Films,rotten,39.0,122,spilled,24211,37.0,404737.0,30,48,74,12,18,5.22,5.19,NEGATIVE,3.01,52,66,118,44.067796610169495,55.932203389830505,0,0,0,0,2000Scream 3,5.6,119801,nm0000127,,nm0932078,nm0472567,670885.6,15,0,6.76,,4,2,6.535984400850863,7.174974399960039,,0.0,10
71522,tt0134847,Pitch Black,2000,109,Horror,Sci-Fi,,2436,Fevereiro,2.0,18.0,2000,18/02/2000,7,53182088.0,23000000.0,2.312264695652174,0.8382274319957396,R,"In this science fiction thriller, a spaceship is transporting a disparate group of people to a far-away galactic outpost called New Mecca. Mechanical failures cause the craft to crash-land on an abandoned planet that has three suns and no night. The only member of the crew to survive is junior pilot Carolyn Fry (Radha Mitchell), while the passengers who climb from the wreckage include a police officer (Cole Hauser) and the prisoner he's transporting, Riddick (Vin Diesel). As Fry and the other survivors survey the abandoned dwellings of the desert world while trying to decide what to do next, one of them is killed by a mutant creature living in an abandoned mining site. The vicious and bloodthirsty mutants, who live underground, have killed all previous inhabitants of the planet; they cannot stand sunlight, but research reveals that the planet has a total eclipse every 22 years, and the latest one is due any moment. Pitch Black was directed by David N. Twohy, who also made the sci-fi cult item, The Arrival. ~ Mark Deming, Rovi","Oct 24, 2000",Gramercy Pictures/ USA Films,rotten,59.0,109,upright,20508,77.0,278602.0,31,64,45,15,16,5.63,5.09,POSITIVE,3.83,43,65,108,39.81481481481481,60.185185185185176,0,0,0,0,2000Pitch Black,7.1,220690,nm0878638,,nm0923646,nm0003117,1566899.0,2,0,6.31,,5,5,5.073999256413434,5.420275539381337,,0.0,10
72510,tt0138524,Intolerable Cruelty,2003,100,Comedy,Crime,Romance,945,Outubro,10.0,10.0,2003,10/10/2003,41,121327628.0,60000000.0,2.022127133333333,0.7041499936629405,PG-13,"Joel and Ethan Coen take on the classic battle-of-the-sexes screwball comedy with Intolerable Cruelty. George Clooney plays Miles Massey, a high-powered Los Angeles divorce lawyer nearing a midlife crisis . While representing wealthy client Rex Rexroth (Edward Herrmann), Miles meets his match in Rex's gold-digging wife, Marilyn Rexroth (Catherine Zeta-Jones). He's impressed by her similarly heartless ways of using marriage to fuel an expensive lifestyle, but he still defeats her in court. With Marilyn looking to get her revenge and Miles finding himself attracted to her, the two engage in a ruthless romantic pursuit to out-swindle each other. Billy Bob Thornton shows up in a small role as Texas oil tycoon Howard Doyle. ~ Andrea LeVasseur, Rovi","Feb 10, 2004",Universal Pictures,certified_fresh,75.0,185,spilled,8967,48.0,66642.0,45,139,46,35,10,6.76,6.84,NEGATIVE,3.15,55,123,178,30.89887640449438,69.10112359550563,0,0,0,0,2003Intolerable Cruelty,6.2,88530,nm0001054,nm0001053,nm0709070,nm0832043,548886.0,9,9,7.89,7.89,3,2,6.633998661230451,6.690286899412374,7.130226174987466,5.5,10
73382,tt0141399,Isn't She Great,2000,95,Biography,Comedy,Drama,1663,Janeiro,1.0,28.0,2000,28/01/2000,4,2954405.0,36000000.0,0.08206680555555555,-2.500221661510316,R,"Jacqueline Susann spent a long career on the edges of show business as an actress and model, but it never really paid off until she quit acting to write her first novel. Valley of the Dolls was a proudly sleazy potboiler that sold 26 million copies and had readers wondering which characters matched up to which real-life show-biz figures. Susann wrote several other successful novels, but fame and fortune didn't make her life any less tumultuous; she had well-publicized problems with drugs and alcohol and a series of free-wheeling affairs, although she stayed with her husband Irving Mansfield until her death in 1974 at the age of 56. Isn't She Great is a screen biography that focuses on Susann's roller-coaster literary career, with Bette Midler as Susann and Nathan Lane as Mansfield; David Hyde Pierce, Stockard Channing, John Cleese, and Sarah Jessica Parker round out the supporting cast.","Jul 18, 2000",Universal Studios Home Video,rotten,25.0,61,spilled,295,39.0,2628.0,24,15,46,6,18,4.04,3.79,NEGATIVE,2.88,21,25,46,45.65217391304348,54.34782608695652,0,0,0,0,2000Isn't She Great,5.4,2232,nm0000921,,nm0466107,nm0397411,12052.8,5,0,5.59,,0,5,,6.348932862868583,,0.0,10
